Manufacturer,Model,Price,Transmission,Power,Engine CC,Fuel,Male,Female,Unknown,Total
Honda,CRX,28.735,5.0,100.67,1590.0,petrol,1029.0,589.0,102.0,1720.0
Mazda,Tribute,38.025,4.0,129.5,2614.0,petrol,1134.0,504.0,77.0,1715.0
Porsche,Carrera,646.605,6.0,450.0,5733.0,petrol,1455.0,136.0,56.0,1647.0
Renault,9,11.496,5.0,50.25,1507.5,petrol,1024.0,530.0,65.0,1619.0
Citroen,C8,45.591,5.0,104.17,2027.83,petrol,1029.0,458.0,55.0,1542.0
Audi,S4,95.299,6.0,253.67,3764.33,petrol,1298.0,138.0,63.0,1499.0
Mazda,2,21.6,6.0,64.62,1496.0,petrol,767.0,679.0,52.0,1498.0
Skoda,Superb,39.725,7.0,110.0,1592.0,petrol,1293.0,155.0,42.0,1490.0
Lotus,Esprit,93.424,5.0,233.0,2995.0,petrol,1361.0,60.0,44.0,1465.0
Triumph,TR7,13.137,5.0,93.5,1998.0,petrol,1201.0,183.0,61.0,1445.0
Alfa-Romeo,33,13.818,5.0,66.0,1351.0,petrol,1057.0,256.0,62.0,1375.0
Rover,Streetwise,20.74,5.0,75.0,1695.0,petrol,861.0,472.0,32.0,1365.0
Fiat,Barchetta,28.295,5.0,96.0,1747.0,petrol,933.0,338.0,82.0,1353.0
Audi,Quattro,61.235,5.0,147.0,2144.0,petrol,1122.0,109.0,48.0,1279.0
Porsche,Cayenne,158.976,8.0,326.0,3295.0,petrol,1026.0,187.0,60.0,1273.0
Rover,2000,17.182,5.0,74.0,1994.0,petrol,1112.0,84.0,27.0,1223.0
Opel,Manta,11.985,4.0,69.0,1762.75,petrol,970.0,174.0,30.0,1174.0
Kia,Magentis,28.803,5.0,111.2,2126.8,petrol,997.0,125.0,36.0,1158.0
Daihatsu,Applause,15.698,4.0,73.0,1590.0,petrol,711.0,346.0,64.0,1121.0
Volkswagen,Touran,32.986,6.0,94.04,1528.81,diesel,678.0,359.0,83.0,1120.0
Daimler,4,92.798,4.0,166.0,3980.0,petrol,920.0,115.0,54.0,1089.0
Mercedes,Vaneo,28.969,5.0,72.62,1707.12,petrol,636.0,385.0,65.0,1086.0
Opel,Zafira,35.27,6.0,112.07,1574.43,petrol,671.0,300.0,95.0,1066.0
Suzuki,X-90,16.641,4.0,71.0,1590.0,petrol,349.0,656.0,60.0,1065.0
TVR,Griffith,71.187,5.0,239.0,4997.0,petrol,948.0,67.0,43.0,1058.0
Daimler,3.6,71.602,4.0,149.0,3590.0,petrol,884.0,100.0,30.0,1014.0
TVR,Tuscan,107.7,5.0,274.0,3800.5,petrol,927.0,60.0,26.0,1013.0
Lancia,Delta,29.043,6.0,105.07,1638.89,petrol,889.0,96.0,27.0,1012.0
Volvo,XC70,58.469,6.0,148.52,2174.04,diesel,780.0,160.0,69.0,1009.0
Ford,Fiesta,18.532,6.0,68.57,1166.14,petrol,620042.0,695180.0,50604.0,1365826.0
Ford,Escort,16.209,4.0,63.56,1650.21,petrol,700915.0,344765.0,36055.0,1081735.0
Ford,Mondeo,39.974,2.0,130.25,1998.5,petrol,551461.0,130545.0,20920.0,702926.0
Volkswagen,Golf,31.242,6.0,89.46,1537.41,petrol,354091.0,226261.0,33723.0,614075.0
Nissan,Micra,20.378,5.0,67.96,1279.7,petrol,207018.0,323686.0,25211.0,555915.0
Renault,Clio,22.1,6.0,75.58,1219.65,petrol,213815.0,314576.0,22070.0,550461.0
Rover,2000,17.182,5.0,74.0,1994.0,petrol,341789.0,175449.0,19120.0,536358.0
Volkswagen,Polo,18.192,5.0,60.96,1408.06,petrol,185207.0,246370.0,25529.0,457106.0
BMW,320i,47.848,6.0,126.11,1995.78,petrol,300860.0,108101.0,20400.0,429361.0
Ford,Focus,30.619,6.0,94.03,1497.17,petrol,241175.0,124755.0,11332.0,377262.0
Renault,Megane,26.45,5.0,87.31,1623.79,petrol,209379.0,139892.0,13869.0,363140.0
Peugeot,306,18.643,5.0,67.0,1698.64,petrol,215205.0,133082.0,14344.0,362631.0
